OBJECTID,Lease or Claim Name,Lease or Claim Type,Commodity,Stock Raising Homestead Act,MLRS Casefile Number,Casefile Number,Case Type,BLM Administrative Unit,GIS Acres,GLOBALID,Shape__Area,Shape__Length
2824,DOUBLE EAGLE #9,LodeClaim,UN,U,OR101371497,ORMC161212,384101,ORL00,165.01197492,d830b061-8c1b-4b07-a844-c05e0a1e3f83,7.33734186724178E-05,0.0346649741348509
2825,DOUBLE EAGLE #14,LodeClaim,UN,U,OR101371498,ORMC161214,384101,ORL00,165.30186571,1be70d62-b593-431f-9220-1ecfdee36cf3,7.34650543563475E-05,0.0346699792670866
2826,DOUBLE EAGLE #16,LodeClaim,UN,U,OR101371499,ORMC161216,384101,ORL00,166.50349621,f621643f-8aa1-4537-b1a5-e16e52947981,7.39809897822852E-05,0.0348055231471647
2827,MORMAN BASIN #9,PlacerClaim,UN,U,OR101374918,ORMC161231,384201,ORV00,163.72721347,38b57285-f979-4349-ab4f-03471270ec6e,7.49458722566487E-05,0.035121552151306
2828,ACES REDS #2,LodeClaim,UN,U,OR101374919,ORMC161235,384101,ORL00,164.59135669,ea39d1c1-0e82-4a01-bde0-d6b258b1d64c,7.31163499949616E-05,0.0345932462222689
2829,ACES REDS #3,LodeClaim,UN,U,OR101374920,ORMC161236,384101,ORL00,165.30186571,a22b77b9-2bef-4734-b277-140b8575e748,7.34650543563475E-05,0.0346699792670866
2830,ACES REDS #4,LodeClaim,UN,U,OR101374921,ORMC161237,384101,ORL00,165.30186571,da07df49-fb04-44af-9c3a-4522def3d141,7.34650543563475E-05,0.0346699792670866
2831,JACK REDS #1,LodeClaim,UN,U,OR101374922,ORMC161238,384101,ORL00,164.84776129,48d3cc1a-a8d9-41da-80b3-b3cb54b96535,7.32546091057884E-05,0.0346117017352789
2832,JACKS REDS #2,LodeClaim,UN,U,OR101374923,ORMC161239,384101,ORL00,164.84776129,2bad99c4-2343-47de-81d1-74035b22d1c9,7.32546091057884E-05,0.0346117017352789
2833,JACKS REDS #3,LodeClaim,UN,U,OR101375560,ORMC161240,384101,ORL00,164.84776129,19acec25-1155-4a46-a78c-0b6bedde0609,7.32546091057884E-05,0.0346117017352789
2834,JACKS REDS #4,LodeClaim,UN,U,OR101375561,ORMC161241,384101,ORL00,164.84776129,0f4792ba-6665-4917-9b1a-5f6cf6181d9d,7.32546091057884E-05,0.0346117017352789
2835,LODE CLAIM,LodeClaim,UN,U,OR101375562,ORMC161242,384101,ORL00,330.14963697,e6a22a89-15c3-4f31-b367-f4c7abc3f4e2,0.000146719663462136,0.0494125264487688
2836,LODE CLAIM,LodeClaim,UN,U,OR101375563,ORMC161243,384101,ORL00,330.14963697,d12f0813-012e-4f33-800d-edcaf01dbdd0,0.000146719663462136,0.0494125264487688
2837,JOSEPHINE #1,PlacerClaim,UN,U,OR101361367,ORMC157093,384201,ORM00,160.76871498,99399a95-4c39-4a06-8df8-a4a36e463ef2,7.09397236278164E-05,0.0340536094531204
2838,JOSEPHINE #2,PlacerClaim,UN,U,OR101361368,ORMC157094,384201,ORM00,160.76871498,479c4d44-bf16-4d3e-840a-e397208fb85f,7.09397236278164E-05,0.0340536094531204
2839,JOSEPHINE #3,PlacerClaim,UN,U,OR101361369,ORMC157095,384201,ORM00,160.76871498,0bb2ddce-b979-490f-8a4e-614741646291,7.09397236278164E-05,0.0340536094531204
2840,JUMBO #1,PlacerClaim,UN,U,OR101361370,ORMC157096,384201,ORM00,160.87503245,34246901-1255-40ae-b00e-ac0ded32cd68,7.09785813342023E-05,0.0340516207512125
2841,JUMBO #2,PlacerClaim,UN,U,OR101361371,ORMC157097,384201,ORM00,160.87503245,c53e4527-e97f-4f6b-aafe-bc8936b757a5,7.09785813342023E-05,0.0340516207512125
2842,JUMBO #3,PlacerClaim,UN,U,OR101361372,ORMC157098,384201,ORM00,160.87503245,493371c8-4c3f-4d0f-8427-91ccfa149d61,7.09785813342023E-05,0.0340516207512125
2843,JUMBO #4,PlacerClaim,UN,U,OR101361373,ORMC157099,384201,ORM00,160.93950082,05f46a0c-881a-43b7-aa6c-81ee8144bf78,7.09989549250167E-05,0.0340574244441567
2844,JUMBO #5,PlacerClaim,UN,U,OR101361374,ORMC157100,384201,ORM00,160.93950082,571378aa-8556-4d8a-9891-ffe1051041fa,7.09989549250167E-05,0.0340574244441567
2845,PLACER CLAIM,PlacerClaim,UN,U,OR101364636,ORMC157119,384201,ORW00,326.08938681,26a43b95-fc73-410b-b980-f32412d64b73,0.000157335884523491,0.0509539195640167
2846,GOLDEN STAR #1,PlacerClaim,UN,U,OR101364641,ORMC157121,384201,ORV00,164.35290573,41d0f2a3-4691-41e2-9d8d-4bf8dfa77c4b,7.60760476623545E-05,0.0353597255113117
2847,BR # 1005,PlacerClaim,UN,U,OR101841858,ORMC177617,384201,ORV00,159.45398221,41740631-8718-484c-919e-cfa1d987d47c,7.31813793208858E-05,0.0347514830842986
2848,LUCKY 13,PlacerClaim,UN,U,OR101363839,ORMC157142,384201,ORW00,160.40569463,fe1f1fb9-5bb6-4a8a-a42a-567ce55c4cf0,7.78473909122113E-05,0.035976129045515
2849,HERE I IS,PlacerClaim,UN,U,OR101360577,ORMC157158,384201,ORM00,161.11136434,21377dda-efc6-4e86-9a42-edc7b4fe9342,7.14639377292769E-05,0.0341622254337297
2850,BEN DOVER,PlacerClaim,UN,U,OR101363842,ORMC157170,384201,ORW00,161.74529577,41eccf86-e3cb-4918-b165-5d6476c2e096,7.63429447943054E-05,0.03551518426037
2851,BR # 1006,PlacerClaim,UN,U,OR101841859,ORMC177618,384201,ORV00,159.45398221,72641ef1-a2b8-4646-ab9d-e61728a83285,7.31813793208858E-05,0.0347514830842986
2852,BROWN BEAR #3,LodeClaim,UN,U,OR101366312,ORMC157183,384101,ORP00,166.84975145,e0bec9fa-9715-4679-9bfa-03c0ebe3d4c7,7.67153401284304E-05,0.0355547845411343
2853,AA 61,LodeClaim,UN,U,OR101881700,ORMC158211,384101,ORL00,161.06304662,d6260200-8f73-4da2-9a03-e085f214aba3,7.117404948076E-05,0.0341103351441783
2854,LODE CLAIM,LodeClaim,UN,U,OR101881701,ORMC158212,384101,ORL00,517.35305931,a5e24437-e9ed-4c25-8e23-06bb92ee6489,0.000228631837217108,0.0634089041419428
2855,AA 63,LodeClaim,UN,U,OR101881702,ORMC158213,384101,ORL00,233.20523855,3689e0c5-3f90-4ef0-b8a2-a262eedd363b,0.000103053582279244,0.0487521299663757
2856,LODE CLAIM,LodeClaim,UN,U,OR101881703,ORMC158214,384101,ORL00,193.09751996,e1681927-31cb-4e22-9ca1-9775cf365ffa,8.53344645292964E-05,0.0408895362926528
2857,AA 65,LodeClaim,UN,U,OR101881704,ORMC158215,384101,ORL00,72.14217673,c77f8cbe-9fc6-4305-92aa-ec6b5ab3fbb3,3.18795327984844E-05,0.0264330365850471
2858,LODE CLAIM,LodeClaim,UN,U,OR101658876,ORMC158216,384101,ORL00,193.09751996,8aa064bf-3672-4d2e-9545-fa615a6cb6b3,8.53344645292964E-05,0.0408895362926528
2859,AA 67,LodeClaim,UN,U,OR101658877,ORMC158217,384101,ORL00,72.14217673,cc5fec9f-0256-4383-9bff-f39f53f1561f,3.18795327984844E-05,0.0264330365850471
2860,LODE CLAIM,LodeClaim,UN,U,OR101658878,ORMC158218,384101,ORL00,193.09751996,f25861b3-fcb0-4add-8a27-9aa58bbf0063,8.53344645292964E-05,0.0408895362926528
2861,AA 69,LodeClaim,UN,U,OR101658879,ORMC158219,384101,ORL00,72.14217673,045e5770-3b17-48f7-8b87-d23e33ae1ffb,3.18795327984844E-05,0.0264330365850471
